ru,en
искапывать,"dig up, cover with drops"
искательница,seeker
исклевать,"wound by pecking, peck up"
исковерканный,"distorted, corrupted"
исколесить,travel all over
искомкать,crumple
искомое,unknown quantity
искони,from time immemorial
искорёженный,"bent, warped"
искрение,sparking
искривлять,"bend, crook, distort"
искровенять,"wound so as to draw blood, stain with blood"
искровец,Iskraist
искровой,spark
искрогаситель,"spark-extinguisher, spark-preventer"
искромётный,"sparkling, flashing"
искроудержатель,"spark-arrester, spark-catcher"
искроуловитель,"spark-arrester, spark-catcher"
искрошить,"crumble, cut to pieces"
искрошиться,crumble
искупительный,"expiatory, redemptive"
искусительница,temptress
искусственность,artificiality
исландец,Icelander
исландка,Icelander
исландский,"Iceland, Icelandic"
испаритель,"evaporator, vaporizer"
испарять,"evaporate, exhale"
испестрять,"speckle, spot"
исписывать,"use up, cover with writing"
исписываться,"be used up by writing, write oneself out"
исповедальня,confessional
исподнее,"underwear, undergarment"
исподнизу,from underneath
исполнимый,feasible
исполу,half and half
испольщик,"share-cropper, metayer"
испольщина,metayage
испошлить,degrade
исправимый,"remediable, rectifiable, corrigible"
исправник,district police officer
исправность,"good condition, assiduity, exactness, punctiliousness"
испражняться,defecate
испрашивать,"obtain, solicit, beg"
иссекать,"cut all over, slash to pieces, carve, chisel"
иссера-голубой,grey-blue
иссечение,carving
исстари,from olden times
исстрелять,"use up, expend, riddle"
иссушать,"dry up, wither, consume, waste"
истапливать,"heat, melt"
истаптывать,"trample, wear out"
истасканный,dissipated
истаскиваться,"be worn out, be used up, be played out"
истерзанный,"disfigured, worn out, tormented"
истерзаться,be worried to death
истирать,"grate, use up"
истлевать,"rot, decay, be reduced to dust, smoulder to ashes"
истолковывать,"interpret, construe, comment"
истолочь,"crush, pound"
исторгать,"throw out, expel, extort, force"
историзм,historical method
историйка,"pretty story, anecdote"
историко-литературный,"historical and literary, of history and literature"
историко-филологический,"historico-philological, historical and philological"
историко-философский,"historico-philosophical, historical and philosophical"
историограф,historiographer
историчность,"historicity, historic character"
историчный,historical
источниковедение,source study
истощать,"exhaust, wear out, drain"
истребовать,obtain on demand
истрёпанный,"torn, frayed, worn"
истрепаться,be worn out
истрескаться,"crack, become cracked"
истыкать,"stud, pierce all over"
истязатель,torturer
исхлопотать,"obtain by dint of application in the right quarters, go through the whole business of getting, wangle"
исходатайствовать,apply for and obtain
исходящая,outgoing paper
исхудание,emaciation
исцарапаться,"scratch oneself, get scratched all over"
исцелитель,healer
исцеляться,"heal, be healed, recover"
исчахнуть,"be worn to a shadow, waste away"
исчезнувший,extinct
исчеркать,"cover with crossings out, scribble all over"
исчёркивать,"cover with crossings out, scribble all over"
исчерпывать,exhaust
исчерчивать,use up
исчиркать,use up
исчислять,"calculate, estimate"
итеративный,iterative
иттрий,yttrium
